"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка создать курьера без передачи поля login. Создание курьера должно провалиться","61","Создание курьера без логина","","Thu Apr 17 21:53:49 MSK 2025","passed","Thu Apr 17 21:53:49 MSK 2025","","CourierCreateTest","CourierCreateTest","createCourierWithoutLogin"
"Проверка, что курьер НЕ может авторизоваться без передачи поля login","234","Авторизация курьера без логина","","Thu Apr 17 21:53:50 MSK 2025","passed","Thu Apr 17 21:53:50 MSK 2025","","CourierLoginTest","CourierLoginTest","loginCourierWithoutLogin"
"Создание заказа с самокатами разных цветов через параметризованный тест","73","Создание заказа","","Thu Apr 17 21:54:50 MSK 2025","passed","Thu Apr 17 21:54:50 MSK 2025","","OrderCreateTest","OrderCreateTest","orderCreate[Цвет самоката - [BLACK]]"
"Создание заказа с самокатами разных цветов через параметризованный тест","58","Создание заказа","","Thu Apr 17 21:54:50 MSK 2025","passed","Thu Apr 17 21:54:51 MSK 2025","","OrderCreateTest","OrderCreateTest","orderCreate[Цвет самоката - []]"
"Попытка создать двух курьеров с одинаковым набором данных. Создание второго курьера должно провалиться","62","Создание двух одинаковых курьеров","","Thu Apr 17 21:53:49 MSK 2025","failed","Thu Apr 17 21:53:50 MSK 2025","","CourierCreateTest","CourierCreateTest","createTwoIdenticalCouriers"
"Попытка создать курьера без передачи поля password. Создание курьера должно провалиться","62","Создание курьера без пароля","","Thu Apr 17 21:53:49 MSK 2025","passed","Thu Apr 17 21:53:49 MSK 2025","","CourierCreateTest","CourierCreateTest","createCourierWithoutPassword"
"Проверка, что курьер НЕ может авторизоваться без передачи поля password","60109","Авторизация курьера без пароля","","Thu Apr 17 21:53:50 MSK 2025","broken","Thu Apr 17 21:54:50 MSK 2025","","CourierLoginTest","CourierLoginTest","loginCourierWithoutPassword"
"Проверяем, что курьера можно создать с валидными данными","1712","Создание нового курьера","","Thu Apr 17 21:53:48 MSK 2025","failed","Thu Apr 17 21:53:49 MSK 2025","","CourierCreateTest","CourierCreateTest","createNewCourier"
"Получение списка заказов, проверка наличия списка","1300","Получение списка заказов","","Thu Apr 17 21:54:51 MSK 2025","passed","Thu Apr 17 21:54:52 MSK 2025","","OrderGetListTest","OrderGetListTest","orderGetList"
"Проверка, что курьер может авторизоваться с набором валидных данных","250","Авторизация курьера","","Thu Apr 17 21:53:50 MSK 2025","passed","Thu Apr 17 21:53:50 MSK 2025","","CourierLoginTest","CourierLoginTest","loginCourier"
"Проверка, что курьер НЕ может авторизоваться, используя несуществующие данные для входа","65","Авторизация курьера, используя несуществующие данные","","Thu Apr 17 21:53:50 MSK 2025","passed","Thu Apr 17 21:53:50 MSK 2025","","CourierLoginTest","CourierLoginTest","loginCourierWithNonExistentCredential"
"Создание заказа с самокатами разных цветов через параметризованный тест","106","Создание заказа","","Thu Apr 17 21:54:50 MSK 2025","passed","Thu Apr 17 21:54:50 MSK 2025","","OrderCreateTest","OrderCreateTest","orderCreate[Цвет самоката - [BLACK, GREY]]"
"Создание заказа с самокатами разных цветов через параметризованный тест","59","Создание заказа","","Thu Apr 17 21:54:50 MSK 2025","passed","Thu Apr 17 21:54:50 MSK 2025","","OrderCreateTest","OrderCreateTest","orderCreate[Цвет самоката - [GREY]]"
